ID Interacao,RAM (GB),Tempo (s),TPS,Temp Max (C),Consumo (Wh)
5215489a-5c0e-467c-a885-3a0393ce0081,2.67,1.43,3.49,0.0,0.001624
75f61218-ecd8-4569-8e2b-7990b8941008,2.68,1.55,11.62,0.0,0.001932
8b9d65f8-6027-4de6-98ce-64e8677c368b,2.68,1.83,11.49,0.0,0.002285
8a200635-b435-4fc3-8171-99e425b38c3c,2.67,3.53,11.32,0.0,0.004439
8c8dbc52-8091-41ac-b98e-37e97d0f3f6f,2.67,5.39,10.57,0.0,0.006819
415ecfe6-58cf-40ed-8444-b5e4205c22bd,2.65,4.41,8.62,0.0,0.005527
fc6ce6d6-87c0-4a28-b94d-a4e6813dbb4d,2.66,7.27,8.26,0.0,0.009185
ff572acd-5e98-4ff3-8f50-f829725a8bda,2.67,9.95,6.84,0.0,0.012582
6b88c7ef-2c4b-4fdb-9f46-30784fb46bad,2.67,12.64,5.46,0.0,0.015978
e0eb0cbb-c4c1-4fc0-b7fc-a3cd7a18ad25,2.66,12.64,3.08,0.0,0.015985
352799d5-adf0-4ab6-8d8d-af17b9a59e43,2.64,19.17,2.87,0.0,0.024240
a3d596e5-3e46-46e8-9326-8760e415d69d,2.66,12.31,4.47,0.0,0.015551
